,POS,MenuItem,weekday,hour,Qty
1353,RESTAURANT_1,BOILED EGG,Friday,0,60
1354,RESTAURANT_1,BOILED EGG,Friday,1,43
1355,RESTAURANT_1,BOILED EGG,Friday,2,16
1356,RESTAURANT_1,BOILED EGG,Friday,3,8
1357,RESTAURANT_1,BOILED EGG,Friday,4,13
1358,RESTAURANT_1,BOILED EGG,Friday,5,1
1359,RESTAURANT_1,BOILED EGG,Friday,6,1
1360,RESTAURANT_1,BOILED EGG,Friday,7,5
1361,RESTAURANT_1,BOILED EGG,Friday,8,5
1362,RESTAURANT_1,BOILED EGG,Friday,9,1
1363,RESTAURANT_1,BOILED EGG,Friday,12,2
1364,RESTAURANT_1,BOILED EGG,Friday,13,16
1365,RESTAURANT_1,BOILED EGG,Friday,14,36
1366,RESTAURANT_1,BOILED EGG,Friday,15,20
1367,RESTAURANT_1,BOILED EGG,Friday,16,23
1368,RESTAURANT_1,BOILED EGG,Friday,17,13
1369,RESTAURANT_1,BOILED EGG,Friday,18,14
1370,RESTAURANT_1,BOILED EGG,Friday,19,20
1371,RESTAURANT_1,BOILED EGG,Friday,20,23
1372,RESTAURANT_1,BOILED EGG,Friday,21,43
1373,RESTAURANT_1,BOILED EGG,Friday,22,36
1374,RESTAURANT_1,BOILED EGG,Friday,23,55
1375,RESTAURANT_1,BOILED EGG,Monday,0,45
1376,RESTAURANT_1,BOILED EGG,Monday,1,21
1377,RESTAURANT_1,BOILED EGG,Monday,2,19
1378,RESTAURANT_1,BOILED EGG,Monday,3,10
1379,RESTAURANT_1,BOILED EGG,Monday,4,7
1380,RESTAURANT_1,BOILED EGG,Monday,5,10
1381,RESTAURANT_1,BOILED EGG,Monday,6,6
1382,RESTAURANT_1,BOILED EGG,Monday,8,2
1383,RESTAURANT_1,BOILED EGG,Monday,9,2
1384,RESTAURANT_1,BOILED EGG,Monday,10,1
1385,RESTAURANT_1,BOILED EGG,Monday,11,5
1386,RESTAURANT_1,BOILED EGG,Monday,12,24
1387,RESTAURANT_1,BOILED EGG,Monday,13,27
1388,RESTAURANT_1,BOILED EGG,Monday,14,26
1389,RESTAURANT_1,BOILED EGG,Monday,15,32
1390,RESTAURANT_1,BOILED EGG,Monday,16,47
1391,RESTAURANT_1,BOILED EGG,Monday,17,28
1392,RESTAURANT_1,BOILED EGG,Monday,18,37
1393,RESTAURANT_1,BOILED EGG,Monday,19,18
1394,RESTAURANT_1,BOILED EGG,Monday,20,22
1395,RESTAURANT_1,BOILED EGG,Monday,21,31
1396,RESTAURANT_1,BOILED EGG,Monday,22,50
1397,RESTAURANT_1,BOILED EGG,Monday,23,40
1398,RESTAURANT_1,BOILED EGG,Saturday,0,44
1399,RESTAURANT_1,BOILED EGG,Saturday,1,40
1400,RESTAURANT_1,BOILED EGG,Saturday,2,16
1401,RESTAURANT_1,BOILED EGG,Saturday,3,17
1402,RESTAURANT_1,BOILED EGG,Saturday,4,12
1403,RESTAURANT_1,BOILED EGG,Saturday,5,8
1404,RESTAURANT_1,BOILED EGG,Saturday,6,9
1405,RESTAURANT_1,BOILED EGG,Saturday,7,4
1406,RESTAURANT_1,BOILED EGG,Saturday,8,3
1407,RESTAURANT_1,BOILED EGG,Saturday,9,2
1408,RESTAURANT_1,BOILED EGG,Saturday,10,1
1409,RESTAURANT_1,BOILED EGG,Saturday,11,1
1410,RESTAURANT_1,BOILED EGG,Saturday,12,3
1411,RESTAURANT_1,BOILED EGG,Saturday,13,24
1412,RESTAURANT_1,BOILED EGG,Saturday,14,17
1413,RESTAURANT_1,BOILED EGG,Saturday,15,32
1414,RESTAURANT_1,BOILED EGG,Saturday,16,30
1415,RESTAURANT_1,BOILED EGG,Saturday,17,17
1416,RESTAURANT_1,BOILED EGG,Saturday,18,17
1417,RESTAURANT_1,BOILED EGG,Saturday,19,19
1418,RESTAURANT_1,BOILED EGG,Saturday,20,21
1419,RESTAURANT_1,BOILED EGG,Saturday,21,20
1420,RESTAURANT_1,BOILED EGG,Saturday,22,46
1421,RESTAURANT_1,BOILED EGG,Saturday,23,44
1422,RESTAURANT_1,BOILED EGG,Sunday,0,32
1423,RESTAURANT_1,BOILED EGG,Sunday,1,31
1424,RESTAURANT_1,BOILED EGG,Sunday,2,11
1425,RESTAURANT_1,BOILED EGG,Sunday,3,11
1426,RESTAURANT_1,BOILED EGG,Sunday,4,23
1427,RESTAURANT_1,BOILED EGG,Sunday,5,9
1428,RESTAURANT_1,BOILED EGG,Sunday,6,5
1429,RESTAURANT_1,BOILED EGG,Sunday,7,8
1430,RESTAURANT_1,BOILED EGG,Sunday,8,4
1431,RESTAURANT_1,BOILED EGG,Sunday,9,5
1432,RESTAURANT_1,BOILED EGG,Sunday,10,1
1433,RESTAURANT_1,BOILED EGG,Sunday,12,11
1434,RESTAURANT_1,BOILED EGG,Sunday,13,22
1435,RESTAURANT_1,BOILED EGG,Sunday,14,39
1436,RESTAURANT_1,BOILED EGG,Sunday,15,23
1437,RESTAURANT_1,BOILED EGG,Sunday,16,20
1438,RESTAURANT_1,BOILED EGG,Sunday,17,24
1439,RESTAURANT_1,BOILED EGG,Sunday,18,18
1440,RESTAURANT_1,BOILED EGG,Sunday,19,15
1441,RESTAURANT_1,BOILED EGG,Sunday,20,27
1442,RESTAURANT_1,BOILED EGG,Sunday,21,29
1443,RESTAURANT_1,BOILED EGG,Sunday,22,34
1444,RESTAURANT_1,BOILED EGG,Sunday,23,45
1445,RESTAURANT_1,BOILED EGG,Thursday,0,40
1446,RESTAURANT_1,BOILED EGG,Thursday,1,36
1447,RESTAURANT_1,BOILED EGG,Thursday,2,15
1448,RESTAURANT_1,BOILED EGG,Thursday,3,20
1449,RESTAURANT_1,BOILED EGG,Thursday,4,3
1450,RESTAURANT_1,BOILED EGG,Thursday,6,1
1451,RESTAURANT_1,BOILED EGG,Thursday,7,1
1452,RESTAURANT_1,BOILED EGG,Thursday,8,4
1453,RESTAURANT_1,BOILED EGG,Thursday,9,2
1454,RESTAURANT_1,BOILED EGG,Thursday,10,3
1455,RESTAURANT_1,BOILED EGG,Thursday,12,7
1456,RESTAURANT_1,BOILED EGG,Thursday,13,16
